@relation cesta_procesada-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute id numeric
@attribute 'citrus fruit' {0,1}
@attribute 'semi-finished bread' {0,1}
@attribute margarine {0,1}
@attribute 'ready soups' {0,1}
@attribute 'tropical fruit' {0,1}
@attribute yogurt {0,1}
@attribute coffee {0,1}
@attribute 'whole milk' {0,1}
@attribute 'pip fruit' {0,1}
@attribute 'cream cheese' {0,1}
@attribute 'meat spreads' {0,1}
@attribute 'other vegetables' {0,1}
@attribute 'condensed milk' {0,1}
@attribute 'long life bakery product' {0,1}
@attribute butter {0,1}
@attribute rice {0,1}
@attribute 'abrasive cleaner' {0,1}
@attribute rolls/buns {0,1}
@attribute UHT-milk {0,1}
@attribute 'bottled beer' {0,1}
@attribute 'liquor (appetizer)' {0,1}
@attribute 'pot plants' {0,1}
@attribute cereals {0,1}
@attribute 'white bread' {0,1}
@attribute 'bottled water' {0,1}
@attribute chocolate {0,1}
@attribute curd {0,1}
@attribute flour {0,1}
@attribute dishes {0,1}
@attribute beef {0,1}
@attribute frankfurter {0,1}
@attribute soda {0,1}
@attribute chicken {0,1}
@attribute sugar {0,1}
@attribute 'fruit/vegetable juice' {0,1}
@attribute newspapers {0,1}
@attribute 'packaged fruit/vegetables' {0,1}
@attribute 'specialty bar' {0,1}
@attribute 'butter milk' {0,1}
@attribute pastry {0,1}
@attribute 'processed cheese' {0,1}
@attribute detergent {0,1}
@attribute candy {0,1}
@attribute 'bathroom cleaner' {0,1}
@attribute 'root vegetables' {0,1}
@attribute 'frozen dessert' {0,1}
@attribute 'sweet spreads' {0,1}
@attribute 'salty snack' {0,1}
@attribute waffles {0,1}
@attribute 'canned beer' {0,1}
@attribute sausage {0,1}
@attribute 'brown bread' {0,1}
@attribute 'shopping bags' {0,1}
@attribute beverages {0,1}
@attribute 'hamburger meat' {0,1}
@attribute spices {0,1}
@attribute 'hygiene articles' {0,1}
@attribute napkins {0,1}
@attribute pork {0,1}
@attribute berries {0,1}
@attribute 'whipped/sour cream' {0,1}
@attribute 'artif. sweetener' {0,1}
@attribute grapes {0,1}
@attribute dessert {0,1}
@attribute zwieback {0,1}
@attribute 'domestic eggs' {0,1}
@attribute 'spread cheese' {0,1}
@attribute 'misc. beverages' {0,1}
@attribute 'hard cheese' {0,1}
@attribute 'cat food' {0,1}
@attribute ham {0,1}
@attribute turkey {0,1}
@attribute 'baking powder' {0,1}
@attribute 'pickled vegetables' {0,1}
@attribute oil {0,1}
@attribute 'chewing gum' {0,1}
@attribute 'chocolate marshmallow' {0,1}
@attribute 'ice cream' {0,1}
@attribute 'frozen vegetables' {0,1}
@attribute 'canned fish' {0,1}
@attribute 'seasonal products' {0,1}
@attribute 'curd cheese' {0,1}
@attribute 'red/blush wine' {0,1}
@attribute 'frozen potato products' {0,1}
@attribute 'specialty fat' {0,1}
@attribute 'specialty chocolate' {0,1}
@attribute candles {0,1}
@attribute 'flower (seeds)' {0,1}
@attribute 'sparkling wine' {0,1}
@attribute salt {0,1}
@attribute 'frozen meals' {0,1}
@attribute 'canned vegetables' {0,1}
@attribute onions {0,1}
@attribute herbs {0,1}
@attribute 'white wine' {0,1}
@attribute brandy {0,1}
@attribute photo/film {0,1}
@attribute 'sliced cheese' {0,1}
@attribute pasta {0,1}
@attribute softener {0,1}
@attribute 'cling film/bags' {0,1}
@attribute fish {0,1}
@attribute 'male cosmetics' {0,1}
@attribute 'canned fruit' {0,1}
@attribute 'Instant food products' {0,1}
@attribute 'soft cheese' {0,1}
@attribute honey {0,1}
@attribute 'dental care' {0,1}
@attribute popcorn {0,1}
@attribute 'cake bar' {0,1}
@attribute 'snack products' {0,1}
@attribute 'flower soil/fertilizer' {0,1}
@attribute 'specialty cheese' {0,1}
@attribute 'finished products' {0,1}
@attribute 'cocoa drinks' {0,1}
@attribute 'dog food' {0,1}
@attribute prosecco {0,1}
@attribute 'frozen fish' {0,1}
@attribute 'make up remover' {0,1}
@attribute cleaner {0,1}
@attribute 'female sanitary products' {0,1}
@attribute 'dish cleaner' {0,1}
@attribute meat {0,1}
@attribute tea {0,1}
@attribute mustard {0,1}
@attribute 'house keeping products' {0,1}
@attribute 'potato products' {0,1}
@attribute liquor {0,1}
@attribute 'pet care' {0,1}
@attribute soups {0,1}
@attribute rum {0,1}
@attribute 'salad dressing' {0,1}
@attribute sauces {0,1}
@attribute vinegar {0,1}
@attribute soap {0,1}
@attribute 'hair spray' {0,1}
@attribute 'instant coffee' {0,1}
@attribute 'roll products' {0,1}
@attribute mayonnaise {0,1}
@attribute 'rubbing alcohol' {0,1}
@attribute cookware {0,1}
@attribute syrup {0,1}
@attribute 'liver loaf' {0,1}
@attribute 'baby cosmetics' {0,1}
@attribute 'organic products' {0,1}
@attribute 'nut snack' {0,1}
@attribute 'kitchen towels' {0,1}
@attribute 'frozen chicken' {0,1}
@attribute 'light bulbs' {0,1}
@attribute 'skin care' {0,1}
@attribute ketchup {0,1}
@attribute jam {0,1}
@attribute decalcifier {0,1}
@attribute nuts/prunes {0,1}
@attribute liqueur {0,1}
@attribute 'organic sausage' {0,1}
@attribute cream {0,1}
@attribute 'toilet cleaner' {0,1}
@attribute 'baby food' {0,1}
@attribute 'pudding powder' {0,1}
@attribute whisky {0,1}
@attribute 'frozen fruits' {0,1}
@attribute bags {0,1}
@attribute 'cooking chocolate' {0,1}
@attribute 'specialty vegetables' {0,1}
@attribute tidbits {0,1}
@attribute 'sound storage medium' {0,1}
@attribute 'kitchen utensil' {0,1}
@attribute 'preservation products' {0,1}

@data
11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
